index	status	map_line
385	FIXED	0002:00544e70 ?Code_RoundOver@Broc@@YAXHABVstring@1@@Z 00D34370 f i mp_util_wad.o	FIXED: corrected winner to const-reference ABI and passed its address to mRoundOver
386	FIXED	0002:00544ea0 ?NewHost__functor@_mp_common@@YAPAVAeThreadFunctor@@Ventity@Broc@@@Z 00D343A0 f i mp_util_wad.o	FIXED: IDA returns AeThreadFunctor1<entity>*; corrected the wrapper return ABI
387	VERIFIED	0002:00544f40 ?NewHost@_mp_common@@YAXVentity@Broc@@@Z 00D34440 f mp_util_wad.o
388	FIXED	0002:00544f90 ?FadeUpWhenLoaded@_mp_common@@YAXVentity@Broc@@0@Z 00D34490 f mp_util_wad.o	FIXED: IDA 0x00944F90 waits on pLevel->_base.entity for the fade-up label
389	VERIFIED	0002:005450a0 ?Code_ScreenFadeUp@Broc@@YAXIH@Z 00D345A0 f i mp_util_wad.o
390	VERIFIED	0002:005450d0 ?RespawnPlayer@_mp_common@@YAXVentity@Broc@@Vstring@3@@Z 00D345D0 f mp_util_wad.o
391	FIXED	0002:00545310 ?Code_PlayerRespawn@Broc@@YAXVentity@1@ABUvector@1@1ABVstring@1@@Z 00D34810 f i mp_util_wad.o	FIXED: corrected origin/angles/team to const-reference ABI and passed addresses to mPlayerRespawn
392	VERIFIED	0002:00545350 ?Spectate@_mp_common@@YAXVentity@Broc@@Ubint@@Ubbool@@@Z 00D34850 f mp_util_wad.o	VERIFIED: IDA registers both endon labels, waits for the bint delay, and enters spectator mode when playerState != 2
393	VERIFIED	0002:00545420 ?DeathState@_mp_common@@YAXVentity@Broc@@0Ubint@@Ubbool@@2@Z 00D34920 f mp_util_wad.o	VERIFIED: IDA matches the four active arguments and unused fade slot, endon labels, spectate menu/state, health reset, and revive/dead functor branches
394	FIXED	0002:00545810 ?OpenMenu@Broc@@YAHABVstring@1@H@Z 00D34D10 f i mp_util_wad.o	FIXED: corrected menu string to const-reference ABI and passed its address to mOpenMenu
395	VERIFIED	0002:00545840 ?SetSpectateState@Broc@@YAXHH@Z 00D34D40 f i mp_util_wad.o	VERIFIED: IDA forwards state and viewport directly to mSetSpectateState
396	FIXED	0002:00545870 ?SetSpectateTeamKill@Broc@@YAXHABVentity@1@H@Z 00D34D70 f i mp_util_wad.o	FIXED: corrected entity to const-reference ABI while retaining the IDA-backed handle forward
397	FIXED	0002:005458b0 ?UpdateSpectateCritical__functor@_mp_common@@YAPAVAeThreadFunctor@@Ventity@Broc@@@Z 00D34DB0 f i mp_util_wad.o	FIXED: Corrected the existing wrapper return type to AeThreadFunctor* per IDA
398	FIXED	0002:00545950 ?UpdateSpectateDead__functor@_mp_common@@YAPAVAeThreadFunctor@@Ventity@Broc@@Ubbool@@@Z 00D34E50 f i mp_util_wad.o	FIXED: Corrected the existing wrapper return type to AeThreadFunctor* per IDA
399	FIXED	0002:005459f0 ?FollowClient@_mp_common@@YAXVentity@Broc@@Ubint@@@Z 00D34EF0 f mp_util_wad.o	FIXED: IDA 0x009459F0 reloads pLevel->_base.entity before FadeUpWhenLoaded
400	VERIFIED	0002:00545b90 ?Code_ScreenFadeToBlack@Broc@@YAXIH@Z 00D35090 f i mp_util_wad.o
401	FIXED	0002:00545bc0 ?LocalPlayerIntermission@_mp_common@@YAXVentity@Broc@@@Z 00D350C0 f mp_util_wad.o	FIXED: IDA 0x00945BC0 constructs FadeUpWhenLoaded with pLevel->_base.entity and the original player
402	VERIFIED	0002:00545d30 ?LocalPlayerRespawn@_mp_common@@YAXVentity@Broc@@@Z 00D35230 f mp_util_wad.o
403	VERIFIED	0002:00545fb0 ?Get@nextPlayerClass_struct@__unnamed@entity@Broc@@QBE?BFXZ 00D354B0 f i mp_util_wad.o	VERIFIED: IDA returns m_entity_get_persistent_player_nextPlayerClass(this->mHandle)
404	FIXED	0002:00545fe0 ?Code_RequestRespawn@Broc@@YAXI@Z 00D354E0 f i mp_util_wad.o	FIXED: corrected playerID to unsigned-int ABI and forwarded unchanged to mRequestRespawn
405	FIXED	0002:00546010 ?TakeAllWeapons@Broc@@YAXABVentity@1@@Z 00D35510 f i mp_util_wad.o	FIXED: corrected entity to const-reference ABI and forwarded its handle to mTakeAllWeapons
406	VERIFIED	0002:00546040 ?RunFrame@_mp_common@@YAXVentity@Broc@@@Z 00D35540 f mp_util_wad.o
407	VERIFIED	0002:00546080 ?CreateClock@_mp_common@@YAXUbint@@@Z 00D35580 f mp_util_wad.o	VERIFIED: Existing implementation matches IDA's timeLimit > 0 check and Code_SetShowTime forward
408	VERIFIED	0002:005460e0 ?Code_SetShowTime@Broc@@YAXM@Z 00D355E0 f i mp_util_wad.o
409	FIXED	0002:00546110 ?StartRound@_mp_common@@YAXUbbool@@@Z 00D35610 f mp_util_wad.o	FIXED: IDA 0x00946110 constructs the notify and finish_starting_round callbacks from pLevel->_base.entity
410	VERIFIED	0002:00546570 ?Code_ForceControllerErrorMessageDown@Broc@@YAXXZ 00D35A70 f i mp_util_wad.o
411	FIXED	0002:00546590 ?finish_starting_round__functor@_mp_common@@YAPAVAeThreadFunctor@@Ventity@Broc@@Ubbool@@@Z 00D35A90 f i mp_util_wad.o	FIXED: Corrected the existing wrapper return type to AeThreadFunctor* per IDA
412	FIXED	0002:00546630 ?finish_starting_round@_mp_common@@YAXVentity@Broc@@Ubbool@@@Z 00D35B30 f mp_util_wad.o	FIXED: IDA 0x00946630 reloads pLevel->_base.entity independently for each endon/notify path
413	FIXED	0002:00546c00 ?restart_round@_mp_common@@YAXVentity@Broc@@Ubint@@@Z 00D36100 f mp_util_wad.o	FIXED: IDA 0x00946C00 reloads pLevel->_base.entity for waittill and each victory effect/dialog callback
414	VERIFIED	0002:005473f0 ?Code_SettleMapVote@Broc@@YAXXZ 00D368F0 f i mp_util_wad.o
415	VERIFIED	0002:00547410 ?Code_SettleGameModeVote@Broc@@YAXXZ 00D36910 f i mp_util_wad.o
416	VERIFIED	0002:00547430 ?Code_NextRoundMapChanges@Broc@@YA_NXZ 00D36930 f i mp_util_wad.o
417	VERIFIED	0002:00547450 ?MusicStop@@YAXXZ 00D36950 f i mp_util_wad.o	VERIFIED: IDA 0x00947450 matches the existing 0.0f forward to gBrocAPI.mMusicStop
418	VERIFIED	0002:00547480 ?SoundStop@@YAXI@Z 00D36980 f i mp_util_wad.o	VERIFIED: IDA 0x00947480 matches the existing handle forward to gBrocAPI.mSoundStop
419	VERIFIED	0002:005474b0 ?CheckTimeLimit@_mp_common@@YAXXZ 00D369B0 f mp_util_wad.o
420	VERIFIED	0002:00547670 ??M@YA?AUbbool@@Ubfloat@@Ubint@@@Z 00D36B70 f i mp_util_wad.o	VERIFIED: IDA 0x00947670 matches the existing bfloat/bint less-than comparison
421	VERIFIED	0002:005476d0 ?CheckScoreLimit@_mp_common@@YAXXZ 00D36BD0 f mp_util_wad.o
422	VERIFIED	0002:00547a30 ??M@YA?AUbbool@@HUbint@@@Z 00D36F30 f i mp_util_wad.o	VERIFIED: IDA 0x00947A30 matches the existing int/bint less-than comparison
423	VERIFIED	0002:00547a70 ?Code_GetPlayerTotalScore@Broc@@YAHVentity@1@@Z 00D36F70 f i mp_util_wad.o
424	VERIFIED	0002:00547aa0 ?CheckLastManStanding@_mp_common@@YAXVstring@Broc@@@Z 00D36FA0 f mp_util_wad.o
425	FIXED	0002:00547f40 ?CheckLastManStandingEnoughPlayers@_mp_common@@YAXVentity@Broc@@@Z 00D37440 f mp_util_wad.o	FIXED: IDA 0x00947F40 independently reloads pLevel->_base.entity for notify and both endon paths
426	VERIFIED	0002:005483a0 ?waitframe@_mp_common@@YAXXZ 00D378A0 f mp_util_wad.o
427	FIXED	0002:005483d0 ?DestroyHudElem@_mp_common@@YAXAAVhudelem@Broc@@@Z 00D378D0 f mp_util_wad.o	FIXED: IDA tests IsDefined<hudelem>(elem), calls global Destroy, then SetUndefined
428	VERIFIED	0002:00548420 ?SetUndefined@hudelem@Broc@@QAEXXZ 00D37920 f i mp_util_wad.o	VERIFIED: IDA 0x00948420 matches the existing mHudIndex = -1 assignment
429	VERIFIED	0002:00548450 ?Destroy@@YAXABVhudelem@Broc@@@Z 00D37950 f i mp_util_wad.o	VERIFIED: IDA 0x00948450 matches the existing const HUD pointer forward to gBrocAPI.mDestroy
430	FIXED	0002:00548480 ?AddToPlayerStats@_mp_common@@YAXVentity@Broc@@Ubint@@H@Z 00D37980 f mp_util_wad.o	FIXED: matched IDA 0x00948480 rank-promotion flow and removed the port-only explicit team-string destructor
431	VERIFIED	0002:005489f0 ??4rank_struct@__unnamed@entity@Broc@@QAEABFABF@Z 00D37EF0 f i mp_util_wad.o	VERIFIED: IDA forwards *rhs and this->mHandle to m_entity_set_persistent_player_rank, then returns rhs
432	VERIFIED	0002:00548a30 ?put_player_into_spectate_mode@_mp_common@@YAXVentity@Broc@@@Z 00D37F30 f mp_util_wad.o
433	FIXED	0002:00548ad0 ?SpawnLocalSpectator__functor@_mp_common@@YAPAVAeThreadFunctor@@Ventity@Broc@@@Z 00D37FD0 f i mp_util_wad.o	FIXED: matched IDA return type as AeThreadFunctor1<Broc::entity>*
434	FIXED	0002:00548b70 ?SpawnLocalSpectator@_mp_common@@YAXVentity@Broc@@@Z 00D38070 f mp_util_wad.o	FIXED: IDA 0x00948B70 constructs the fade waittill entity from pLevel->_base.entity; earlier endon calls use guy
435	FIXED	0002:00548f20 ?UpdateSpectateSpawn__functor@_mp_common@@YAPAVAeThreadFunctor@@Ventity@Broc@@@Z 00D38420 f i mp_util_wad.o	FIXED: matched IDA return type as AeThreadFunctor1<Broc::entity>*
436	VERIFIED	0002:00548fc0 ?SpawnSpectator@_mp_common@@YAXVentity@Broc@@@Z 00D384C0 f mp_util_wad.o
437	VERIFIED	0002:005491b0 ?Get@viewangles_struct@__unnamed@entity@Broc@@QBE?BUvector@4@XZ 00D386B0 f i mp_util_wad.o	VERIFIED: IDA 0x009491B0 matches the existing temporary-vector copy from m_entity_get_player_viewangles
438	FIXED	0002:00549200 ?SpawnIntermission@_mp_common@@YAXVentity@Broc@@@Z 00D38700 f mp_util_wad.o	FIXED: IDA 0x00949200 constructs FadeUpWhenLoaded with pLevel->_base.entity and the player
439	VERIFIED	0002:005495c0 ?QuitGameThread@_mp_common@@YAXVentity@Broc@@@Z 00D38AC0 f mp_util_wad.o
440	VERIFIED	0002:00549600 ?Code_QuitGame@Broc@@YAXXZ 00D38B00 f i mp_util_wad.o
441	VERIFIED	0002:00549620 ?GetRespawnTime@_mp_common@@YA?AUbint@@Ventity@Broc@@@Z 00D38B20 f mp_util_wad.o	VERIFIED: IDA control flow and arithmetic match the existing implementation
442	VERIFIED	0002:00549ae0 ??D@YA?AUbint@@U0@0@Z 00D38FE0 f i mp_util_wad.o	VERIFIED: IDA 0x00949AE0 matches the existing global bint*bint multiplication
443	VERIFIED	0002:00549b20 ??D@YA?AUbint@@HU0@@Z 00D39020 f i mp_util_wad.o	VERIFIED: IDA 0x00949B20 matches the existing global int*bint multiplication
444	VERIFIED	0002:00549b60 ?GetGoingToDieTime@_mp_common@@YA?AUbint@@Ventity@Broc@@@Z 00D39060 f mp_util_wad.o	VERIFIED: IDA implementation is GetTime plus 20000
445	VERIFIED	0002:00549bb0 ?UpdateSpectateCritical@_mp_common@@YAXVentity@Broc@@@Z 00D390B0 f mp_util_wad.o
446	VERIFIED	0002:00549eb0 ?SetSpectateSeconds@Broc@@YAXHH@Z 00D393B0 f i mp_util_wad.o	VERIFIED: Existing implementation matches the IDA direct forward to gBrocAPI.mSetSpectateSeconds
447	FIXED	0002:00549ee0 ?UpdateSpectateCriticalGoingToDie__functor@_mp_common@@YAPAVAeThreadFunctor@@Ventity@Broc@@@Z 00D393E0 f i mp_util_wad.o	FIXED: corrected return type to AeThreadFunctor1<Broc::entity>* per IDA constructor result
448	VERIFIED	0002:00549f80 ?UpdateSpectateCriticalGoingToDie@_mp_common@@YAXVentity@Broc@@@Z 00D39480 f mp_util_wad.o
449	FIXED	0002:0054a2d0 ?UpdateSpectateDead@_mp_common@@YAXVentity@Broc@@Ubbool@@@Z 00D397D0 f mp_util_wad.o	FIXED: matched IDA 0x0094A2D0 default-file-name menu check and automatic string cleanup
450	VERIFIED	0002:0054a8a0 ?Code_IsMenuOpen@Broc@@YAHABVstring@1@H@Z 00D39DA0 f i mp_util_wad.o	VERIFIED: Existing implementation matches the IDA direct forward to mIsMenuOpen with const string reference ABI
451	VERIFIED	0002:0054a8d0 ?UpdateSpectateSpawn@_mp_common@@YAXVentity@Broc@@@Z 00D39DD0 f mp_util_wad.o
452	VERIFIED	0002:0054aa60 ?StopFollowing@_mp_common@@YAXVentity@Broc@@Ubbool@@@Z 00D39F60 f mp_util_wad.o	VERIFIED: Existing no-op body matches the IDA function
453	FIXED	0002:0054aa80 ?ProgressBarCreate@_mp_common@@YAXUbint@@@Z 00D39F80 f mp_util_wad.o	FIXED: corrected HUD proxy assignments and exact NewHudElem/SetShader calls
454	VERIFIED	0002:0054abd0 ??4x_struct@__unnamed@hudelem@Broc@@QAEABHABH@Z 00D3A0D0 f i mp_util_wad.o	VERIFIED: IDA 0x0094ABD0 matches the existing HUD x proxy forward and rhs return
455	VERIFIED	0002:0054ac10 ??4y_struct@__unnamed@hudelem@Broc@@QAEABHABH@Z 00D3A110 f i mp_util_wad.o	VERIFIED: IDA 0x0094AC10 matches the existing HUD y proxy forward and rhs return
456	VERIFIED	0002:0054ac50 ??4sort_struct@__unnamed@hudelem@Broc@@QAEABMABM@Z 00D3A150 f i mp_util_wad.o	VERIFIED: IDA 0x0094AC50 matches the existing HUD sort proxy forward and rhs return
457	VERIFIED	0002:0054ac90 ??4alpha_struct@__unnamed@hudelem@Broc@@QAEABEABE@Z 00D3A190 f i mp_util_wad.o	VERIFIED: IDA 0x0094AC90 matches the existing HUD alpha proxy forward and rhs return
458	VERIFIED	0002:0054acd0 ?NewHudElem@@YA?AVhudelem@Broc@@H@Z 00D3A1D0 f i mp_util_wad.o	VERIFIED: IDA 0x0094ACD0 matches the existing temporary HUD allocation and index copy
459	VERIFIED	0002:0054ad10 ?SetShader@@YAXABVhudelem@Broc@@ABVstring@2@HH@Z 00D3A210 f i mp_util_wad.o	VERIFIED: IDA 0x0094AD10 matches the existing four-argument shader forward
460	FIXED	0002:0054ad50 ?ProgressBarUpdate@_mp_common@@YAXUbfloat@@0@Z 00D3A250 f mp_util_wad.o	FIXED: corrected call to the exact global ScaleOverTime wrapper
461	VERIFIED	0002:0054adc0 ?ScaleOverTime@@YAXABVhudelem@Broc@@MHH@Z 00D3A2C0 f i mp_util_wad.o	VERIFIED: IDA 0x0094ADC0 matches the existing HUD, time, width, and height forward
462	VERIFIED	0002:0054ae00 ?ProgressBarDelete@_mp_common@@YAXXZ 00D3A300 f mp_util_wad.o
463	VERIFIED	0002:0054ae30 ?EndRound@_mp_common@@YAXW4EEndRoundCondition@@Vstring@Broc@@@Z 00D3A330 f mp_util_wad.o
464	VERIFIED	0002:0054aec0 ?HasBothTeams@_mp_common@@YA?AUbbool@@XZ 00D3A3C0 f mp_util_wad.o	VERIFIED: Existing player/team counting and team-game condition match IDA
465	VERIFIED	0002:0054b210 ?WaitForTeams@_mp_common@@YAXXZ 00D3A710 f mp_util_wad.o
466	VERIFIED	0002:0054b370 ?GetSpawnPoint@_mp_common@@YA?AVentity@Broc@@AAV23@ABVstring@3@@Z 00D3A870 f mp_util_wad.o	VERIFIED: Existing spawn type selection, entity enumeration, and anti-camp call match IDA
467	VERIFIED	0002:0054b4a0 ?GetBestSpectateSpawn@_mp_common@@YA?AVentity@Broc@@AAV23@@Z 00D3A9A0 f mp_util_wad.o	VERIFIED: Existing intermission spawn lookup and nearest/random selection match IDA
468	VERIFIED	0002:0054b650 ?AudioOnPlayerDeath@_mp_common@@YAXVentity@Broc@@Ubint@@@Z 00D3AB50 f mp_util_wad.o	VERIFIED: Existing local-player Player_Dying effect path matches IDA
469	VERIFIED	0002:0054b6f0 ?HealthRegenPlayerBreathing@_mp_common@@YAXVentity@Broc@@Ubint@@@Z 00D3ABF0 f mp_util_wad.o	VERIFIED: Existing endon/health/breathing loop matches IDA
470	FIXED	0002:0054b880 ?RandomFloat@@YAMM@Z 00D3AD80 f i mp_util_wad.o	FIXED: added mMathsRandomFloat +0x144 callback and exact wrapper
471	VERIFIED	0002:0054b8b0 ?notify@Broc@@YAXABVentity@1@PBD@Z 00D3ADB0 f i mp_util_wad.o	VERIFIED: IDA 0x0094B8B0 matches the existing label hash and entity-notify forward
472	VERIFIED	0002:0054b900 ?AddArtilleryObjective@_mp_common@@YAXVentity@Broc@@Uvector@3@@Z 00D3AE00 f mp_util_wad.o
473	VERIFIED	0002:0054ba60 ?ObjectiveDelete@@YAXHH@Z 00D3AF60 f i mp_util_wad.o	VERIFIED: IDA 0x0094BA60 matches the existing objective/client forward to mObjectiveDelete
474	VERIFIED	0002:0054ba90 ?ObjectiveAdd@@YAXHABVstring@Broc@@0Uvector@2@PBD@Z 00D3AF90 f i mp_util_wad.o	VERIFIED: IDA 0x0094BA90 matches the existing default objective arguments and mObjectiveAdd5 forward
475	FIXED	0002:0054bae0 ?HandleJoinAfterRoundOver@_mp_common@@YAXVentity@Broc@@Ubint@@@Z 00D3AFE0 f mp_util_wad.o	FIXED: IDA 0x0094BAE0 uses pLevel->_base.entity for both endon labels
476	VERIFIED	0002:0054bbd0 ?PutAllPlayersIntoIntermission@_mp_common@@YAXXZ 00D3B0D0 f mp_util_wad.o
477	FIXED	0002:0054bd80 ?LocalPlayerIntermission__functor@_mp_common@@YAPAVAeThreadFunctor@@Ventity@Broc@@@Z 00D3B280 f i mp_util_wad.o	FIXED: corrected the wrapper return type to AeThreadFunctor1<Broc::entity>* per IDA's constructor return type
478	VERIFIED	0002:0054be20 ?HasValidWeaponInSlot@_mp_common@@YA?AUbbool@@Ventity@Broc@@Vstring@4@@Z 00D3B320 f mp_util_wad.o	VERIFIED: body matches IDA's slot lookup, weapon-handle validity test, and by-value slot destruction
479	VERIFIED	0002:0054bf20 ?GetWeaponSlotAmmo@Broc@@YAHABVentity@1@ABVstring@1@@Z 00D3B420 f i mp_util_wad.o	VERIFIED: IDA forwards const entity/string references and slot to mGetWeaponSlotAmmo
480	VERIFIED	0002:0054bf50 ?GetWeaponSlotClipAmmo@Broc@@YAHABVentity@1@ABVstring@1@@Z 00D3B450 f i mp_util_wad.o	VERIFIED: IDA forwards const entity/string references and slot to mGetWeaponSlotClipAmmo
481	VERIFIED	0002:0054bf80 ?SelectFirstAvailableWeapon@_mp_common@@YAXVentity@Broc@@@Z 00D3B480 f mp_util_wad.o
482	VERIFIED	0002:0054c1b0 ?SwitchToWeapon@Broc@@YA_NABVentity@1@ABVstring@1@@Z 00D3B6B0 f i mp_util_wad.o	VERIFIED: IDA 0x0094C1B0 matches the existing entity-handle/string forward and bool return
483	VERIFIED	0002:0054c1e0 ?GetWeaponSlotWeapon@Broc@@YAXABVentity@1@ABVstring@1@AAV31@@Z 00D3B6E0 f i mp_util_wad.o	VERIFIED: IDA 0x0094C1E0 matches the existing entity-handle, slot, and output-string forward
484	VERIFIED	0002:0054c220 ?reenable_medic_call@_mp_common@@YAXVentity@Broc@@Ubint@@@Z 00D3B720 f mp_util_wad.o	VERIFIED: IDA matches the six hash labels, wait, and SetSpectateMedic call
485	VERIFIED	0002:0054c380 ?GetTimeTillNextRound@_mp_common@@YA?AUbint@@XZ 00D3B880 f mp_util_wad.o	VERIFIED: IDA matches level round-over handling and next-round time arithmetic
486	VERIFIED	0002:0054c4a0 ?GetWinningTeam@_mp_common@@YA?AVstring@Broc@@XZ 00D3B9A0 f mp_util_wad.o	VERIFIED: IDA matches team-score comparison and tie-break behavior
487	FIXED	0002:0054c9f0 ?Code_GetPlayerStat@Broc@@YAFVentity@1@I@Z 00D3BEF0 f i mp_util_wad.o	FIXED: added the IDA-matching __int16 wrapper and BrocAPI mGetPlayerStat slot at +0x330
488	VERIFIED	0002:0054ca20 ?DebugRenderSpawnPoints@_mp_common@@YAXXZ 00D3BF20 f mp_util_wad.o
489	VERIFIED	0002:0054cd50 ?Code_DebugRenderBox@Broc@@YAXABUvector@1@00M@Z 00D3C250 f i mp_util_wad.o	VERIFIED: IDA 0x0094CD50 matches the existing min/max/color/alpha forward to mDebugRenderBox
490	VERIFIED	0002:0054cd90 ?main@_mp_ctf@@YAXVentity@Broc@@@Z 00D3C290 f mp_util_wad.o
491	VERIFIED	0002:0054d2a0 ?Code_SetTeamGame@Broc@@YAX_N@Z 00D3C7A0 f i mp_util_wad.o
492	VERIFIED	0002:0054d2d0 ?ObjectiveAdd@@YAXHABVstring@Broc@@0Uvector@2@MH@Z 00D3C7D0 f i mp_util_wad.o	VERIFIED: IDA 0x0094D2D0 matches the existing height/clientIndex and default display arguments
493	FIXED	0002:0054d320 ?StartGame__functor@_mp_ctf@@YAPAVAeThreadFunctor@@Ventity@Broc@@@Z 00D3C820 f i mp_util_wad.o	FIXED: corrected the return type to AeThreadFunctor1<Broc::entity>* per IDA
494	FIXED	0002:0054d3c0 ?FlagThreadLauncher__functor@_mp_ctf@@YAPAVAeThreadFunctor@@Ventity@Broc@@@Z 00D3C8C0 f i mp_util_wad.o	FIXED: corrected the return type to AeThreadFunctor1<Broc::entity>* per IDA
495	FIXED	0002:0054d460 ?StartGame@_mp_ctf@@YAXVentity@Broc@@@Z 00D3C960 f mp_util_wad.o	FIXED: IDA 0x0094D460 copies pLevel->_base.entity (or null) into RunFrame__functor
496	VERIFIED	0002:0054d510 ?Code_EnterGame@Broc@@YAXXZ 00D3CA10 f i mp_util_wad.o
497	FIXED	0002:0054d530 ?RunFrame__functor@_mp_common@@YAPAVAeThreadFunctor@@Ventity@Broc@@@Z 00D3CA30 f i mp_util_wad.o	FIXED: corrected the return type to AeThreadFunctor1<Broc::entity>* per IDA
498	VERIFIED	0002:0054d5d0 ?CallbackAreaCaptured@_mp_ctf@@YAXHH@Z 00D3CAD0 f mp_util_wad.o
499	FIXED	0002:0054e030 ?PlayTeamDialog__functor@_mp_audio@@YAPAVAeThreadFunctor@@Ventity@Broc@@Vstring@4@1Ubfloat@@@Z 00D3D530 f i mp_util_wad.o	FIXED: corrected the return type to AeThreadFunctor4<Broc::entity,Broc::string,Broc::string,Broc::bfloat>* per IDA
500	FIXED	0002:0054e100 ?PlayTeamSound__functor@_mp_audio@@YAPAVAeThreadFunctor@@Ventity@Broc@@Vstring@4@11@Z 00D3D600 f i mp_util_wad.o	FIXED: corrected the return type to AeThreadFunctor4<Broc::entity,Broc::string,Broc::string,Broc::string>* per IDA
501	VERIFIED	0002:0054e1e0 ?CallbackPlayerSpawn@_mp_ctf@@YAXVentity@Broc@@H@Z 00D3D6E0 f mp_util_wad.o
502	VERIFIED	0002:0054e2a0 ??4ctf_has_flag_struct@__unnamed@entity@Broc@@QAEABFABF@Z 00D3D7A0 f i mp_util_wad.o	VERIFIED: current source matches IDA 0x0094E2A0 value load, API forward, and reference return
503	FIXED	0002:0054e2e0 ?SetupRound@_mp_ctf@@YAXXZ 00D3D7E0 f mp_util_wad.o	FIXED: IDA 0x0094E2E0 copies pLevel->_base.entity (or null) into SwitchToSecondarySpawns__functor
504	VERIFIED	0002:0054e7e0 ?Code_SetCompassVisibilty@Broc@@YAXI_N@Z 00D3DCE0 f i mp_util_wad.o	VERIFIED: IDA directly forwards teamid and visible to mSetCompassVisibilty
505	FIXED	0002:0054e810 ?SwitchToSecondarySpawns__functor@_mp_ctf@@YAPAVAeThreadFunctor@@Ventity@Broc@@@Z 00D3DD10 f i mp_util_wad.o	FIXED: corrected the return type to AeThreadFunctor1<Broc::entity>* per IDA
506	VERIFIED	0002:0054e8b0 ?CallbackHostMigrated@_mp_ctf@@YAXXZ 00D3DDB0 f mp_util_wad.o
507	VERIFIED	0002:0054eaa0 ?Code_SendGameStateCTF@Broc@@YAXVentity@1@ABUvector@1@10110@Z 00D3DFA0 f i mp_util_wad.o	VERIFIED: current source matches IDA 0x0094EAA0 copy order, handle extraction, and callback arguments
508	FIXED	0002:0054eb60 ?CallbackNextRound@_mp_ctf@@YAXXZ 00D3E060 f mp_util_wad.o	FIXED: IDA 0x0094EB60 notifies pLevel->_base.entity (or null)
509	VERIFIED	0002:0054ebf0 ?CallbackHostOptionsChanged@_mp_ctf@@YAXH@Z 00D3E0F0 f mp_util_wad.o
510	VERIFIED	0002:0054ec30 ?CallbackGameState@_mp_ctf@@YAXHHHHHHHHHHHHH@Z 00D3E130 f mp_util_wad.o
511	VERIFIED	0002:0054ec90 ?CallbackShowFlagHint@_mp_ctf@@YAHXZ 00D3E190 f mp_util_wad.o
512	VERIFIED	0002:0054ecc0 ?SwitchToSecondarySpawns@_mp_ctf@@YAXVentity@Broc@@@Z 00D3E1C0 f mp_util_wad.o
513	VERIFIED	0002:0054ed20 ?vLerp@_mp_ctf@@YA?AUvector@Broc@@U23@0Ubfloat@@@Z 00D3E220 f mp_util_wad.o	VERIFIED: IDA matches component-wise linear interpolation and result construction
514	VERIFIED	0002:0054ee90 ?IsFlagAtBase@_mp_ctf@@YA?AUbbool@@Ventity@Broc@@@Z 00D3E390 f mp_util_wad.o	VERIFIED: IDA matches goal/flag origin subtraction, z suppression, and 0.15 threshold
515	VERIFIED	0002:0054ef50 ?Length@@YAMABUvector@Broc@@@Z 00D3E450 f i mp_util_wad.o	VERIFIED: IDA 0x0094EF50 matches the existing direct mVecLength forward
516	VERIFIED	0002:0054ef80 ?TeamObjectiveUpdate@_mp_ctf@@YAXVentity@Broc@@H@Z 00D3E480 f mp_util_wad.o
517	FIXED	0002:0054fa60 ??8entity@Broc@@QBE_NABV01@@Z 00D3EF60 f i mp_util_wad.o	FIXED: added the IDA-matching Broc::entity member operator==
518	VERIFIED	0002:0054faa0 ?Get@ctf_has_flag_struct@__unnamed@entity@Broc@@QBE?BFXZ 00D3EFA0 f i mp_util_wad.o	VERIFIED: IDA returns m_entity_get_player_ctf_has_flag from the stored handle
519	VERIFIED	0002:0054fad0 ?ObjectiveUpdater@_mp_ctf@@YAXVentity@Broc@@@Z 00D3EFD0 f mp_util_wad.o
520	VERIFIED	0002:0054fdf0 ?CallbackPlayerKilled@_mp_ctf@@YAXVentity@Broc@@00HHH@Z 00D3F2F0 f mp_util_wad.o
521	VERIFIED	0002:0054fee0 ?CallbackDropFlag@_mp_ctf@@YAXVentity@Broc@@@Z 00D3F3E0 f mp_util_wad.o
522	VERIFIED	0002:0054ff10 ?CallbackPlayerLeave@_mp_ctf@@YAXVentity@Broc@@@Z 00D3F410 f mp_util_wad.o
523	VERIFIED	0002:0054ffa0 ?CallbackGameStateCTF@_mp_ctf@@YAXUvector@Broc@@0Ventity@3@001@Z 00D3F4A0 f mp_util_wad.o
524	VERIFIED	0002:005505f0 ?HandleDropFlag@_mp_ctf@@YAXVentity@Broc@@@Z 00D3FAF0 f mp_util_wad.o
525	VERIFIED	0002:00550b10 ?Code_DropItem@Broc@@YAXHHABUvector@1@00@Z 00D40010 f i mp_util_wad.o	VERIFIED: IDA directly forwards item, netID, position, angles, and velocity to mDropItem2
526	VERIFIED	0002:00550b50 ?TakeWeapon@Broc@@YAXABVentity@1@ABVstring@1@@Z 00D40050 f i mp_util_wad.o	VERIFIED: current source matches IDA 0x00950B50 handle extraction and mTakeWeapon forwarding
527	VERIFIED	0002:00550b80 ?SwitchToLastWeapon@Broc@@YA_NABVentity@1@@Z 00D40080 f i mp_util_wad.o	VERIFIED: IDA 0x00950B80 matches the existing entity-handle forward to mSwitchToLastWeapon
528	VERIFIED	0002:00550bb0 ?UpdateFlagAndTrigger@_mp_ctf@@YAXVentity@Broc@@Uvector@3@1@Z 00D400B0 f mp_util_wad.o
